fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC137,137,Kaga/Cab_F2,30553,60.0731034482759,0.126601427933791,474.505733692771,3.15649281122363e-56,60.4,0.38,0.07,60.2,0.6,16_12_20,AU,-1
KC138,138,Kaga/Cab_F2,29312,58.8858390804598,0.227597808680213,258.727618784755,7.45831255110592e-49,61.76,1.74,0.32,62.61,2.64,16_12_20,AU,-1
KC139,139,Kaga/Cab_F2,28510,62.7057931034483,0.293256564973294,213.825709610827,1.54675164319237e-46,63.88,1.02,0.19,64.12,0.9,16_12_20,AU,-1
KC140,140,Kaga/Cab_F2,28477,49.0362528735632,0.447248224128592,109.639905153574,2.00401113816235e-38,56.19,4.23,0.79,57.79,6.11,16_12_20,AU,-1
KC141,141,Kaga/Cab_F2,24349,55.8074022988505,0.0610488777208041,914.14296842729,3.35818257493454e-64,59.05,1.85,0.34,58.99,3.23,16_12_20,AU,0
KC142,142,Kaga/Cab_F2,25949,69.7975396825397,0.20418404391776,341.836405741147,5.06342830019331e-49,66.74,1.81,0.35,67.14,1.73,16_12_20,DB,-1
KC143,143,Kaga/Cab_F2,26625,61.5679540229885,0.356113200257403,172.888716224185,5.91190366266606e-44,63.72,1.54,0.29,64.12,2.95,16_12_20,DB,0
KC144,144,Kaga/Cab_F2,28741,58.5809655172414,0.130845354030405,447.711467872438,1.60666597635216e-55,60.84,1.33,0.25,60.35,1.81,16_12_20,DB,0
KC145,145,Kaga/Cab_F2,26214,64.3821379310345,0.342288336835758,188.093285696519,5.59235498055053e-45,66.83,1.65,0.31,66.23,2.86,16_12_20,DB,-1
KC146,146,Kaga/Cab_F2,25584,63.8455172413794,0.13268329197844,481.187316725255,2.13397420015274e-56,63.71,0.36,0.07,63.82,0.3,16_12_20,DB,-1
KC147,147,Kaga/Cab_F2,26424,61.7927586206896,0.131269813018138,470.730910633289,3.94746203340262e-56,61.95,0.36,0.07,62.01,0.6,16_12_20,DB,-1
KC148,148,Kaga/Cab_F2,30298,61.1681379310345,0.302111405964903,202.468813567868,7.12288099103167e-46,63.32,1.45,0.27,64.12,2.56,16_12_20,DB,-1
KC149,149,Kaga/Cab_F2,23366,59.9453333333333,0.0684992551770762,875.123870739466,1.13902944046206e-63,63.41,1.97,0.37,63.37,3.54,16_12_20,DB,0
KC150,150,Kaga/Cab_F2,28883,62.0708505747126,0.189987243989212,326.710621573294,1.08788752669861e-51,64.16,1.29,0.24,64.57,2.42,16_12_20,DB,0
KC151,151,Kaga/Cab_F2,26434,63.1577471264368,0.316051700287091,199.833593899562,1.02768277230885e-45,69.41,3.65,0.68,70.3,5.88,16_12_20,DB,0
KC152,152,Kaga/Cab_F2,25810,59.0801379310345,0.152552271079231,387.277996670073,9.31023180594178e-54,59.46,0.45,0.08,59.3,0.61,5_1_21,AU,-1
KC153,153,Kaga/Cab_F2,27206,54.5135862068965,0.382372704490873,142.566625615919,1.30048426817565e-41,61.58,4.14,0.77,60.95,8.81,5_1_21,AU,0
KC154,154,Kaga/Cab_F2,26126,56.0596781609196,0.14870246402243,376.992261220794,1.97801998739242e-53,56.85,0.59,0.11,57.19,1.13,5_1_21,AU,-1
KC155,155,Kaga/Cab_F2,25587,57.5796091954023,0.172258094763518,334.263590192668,5.7375954088684e-52,56.95,0.58,0.11,56.73,0.3,5_1_21,AU,NA
KC156,156,Kaga/Cab_F2,27793,56.6788735632184,0.269476953679917,210.329205482043,2.45351961086222e-46,58.22,1.13,0.21,58.39,2.11,5_1_21,AU,0
KC157,157,Kaga/Cab_F2,25748,56.933448275862,0.0920030372441815,618.821399610507,1.86396553996159e-59,60.29,1.92,0.36,60.05,3.47,5_1_21,AU,-1
KC158,158,Kaga/Cab_F2,25511,63.5980689655172,0.284955113660682,223.186270105854,4.66342005305764e-47,65.19,1.17,0.22,65.63,1.21,5_1_21,AU,NA
KC159,159,Kaga/Cab_F2,23238,55.8279770114942,0.391425241685527,142.627431923122,1.28506950207815e-41,57.66,1.46,0.27,57.19,0.53,5_1_21,AU,0
KC160,160,Kaga/Cab_F2,25113,57.0827816091954,0.392246312627943,145.527898597074,7.31873409042729e-42,59.19,1.58,0.29,58.69,2.04,5_1_21,AU,NA
KC161,161,Kaga/Cab_F2,25875,57.9624137931034,0.149568565158776,387.530720319292,9.14174651877118e-54,58.01,0.39,0.07,58.09,0.6,5_1_21,AU,0
KC162,162,Kaga/Cab_F2,23897,62.199908045977,0.223313234005412,278.532118004567,9.46385117092509e-50,63.78,1.07,0.2,64.12,2.04,5_1_21,DB,0
KC163,163,Kaga/Cab_F2,21074,58.3173333333333,0.182879264631444,318.884338532638,2.14461429420346e-51,62.08,2.19,0.41,62.16,4.67,5_1_21,DB,0
KC164,164,Kaga/Cab_F2,25974,62.2010804597701,0.134036502046159,464.060755915201,5.88622606373464e-56,62.76,0.47,0.09,62.61,0.83,5_1_21,DB,0
KC165,165,Kaga/Cab_F2,27043,58.7161149425287,0.128159678646122,458.148113063371,8.42844454767445e-56,58.95,0.36,0.07,58.99,0.61,5_1_21,DB,0
KC166,166,Kaga/Cab_F2,24552,58.6354942528736,0.468634022114943,125.120011535338,5.00085345801883e-40,62.47,2.5,0.46,61.11,3.09,5_1_21,DB,NA
KC167,167,Kaga/Cab_F2,23525,58.6592413793104,0.298213185005785,196.702373767184,1.59873347532571e-45,61.82,1.96,0.36,61.26,2.33,5_1_21,DB,-1
KC168,168,Kaga/Cab_F2,28249,59.9721149425288,0.154352765136558,388.539297559525,8.50017824781179e-54,62.05,1.25,0.23,61.56,2.65,6_1_21,AU,-1
KC169,169,Kaga/Cab_F2,27510,63.889724137931,0.111846788743418,571.22537764135,1.75219538894303e-58,67.55,2.1,0.39,67.89,3.77,6_1_21,AU,0
